Team,Conference,ShortName,Logo
Atlanta Hawks,Eastern Conference,ATL,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
Boston Celtics,Eastern Conference,BOS,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
Brooklyn Nets,Eastern Conference,BKN,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
Charlotte Hornets,Eastern Conference,CHA,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
Chicago Bulls,Eastern Conference,CHI,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
Cleveland Cavaliers,Eastern Conference,CLE,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
Dallas Mavericks,Western Conference,DAL,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
Denver Nuggets,Western Conference,DEN,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
Detroit Pistons,Eastern Conference,DET,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
Golden State Warriors,Western Conference,GSW,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Houston Rockets,Western Conference,HOU,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
Indiana Pacers,Eastern Conference,IND,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
Los Angeles Clippers,Western Conference,LAC,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
Los Angeles Lakers,Western Conference,LAL,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
Memphis Grizzlies,Western Conference,MEM,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
Miami Heat,Eastern Conference,MIA,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
Milwaukee Bucks,Eastern Conference,MIL,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Minnesota Timberwolves,Western Conference,MIN,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
New Orleans Pelicans,Western Conference,NOP,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
New York Knicks,Eastern Conference,NYK,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
Oklahoma City Thunder,Western Conference,OKC,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
Orlando Magic,Eastern Conference,ORL,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
Philadelphia 76ers,Eastern Conference,PHI,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
Phoenix Suns,Western Conference,PHX,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
Portland Trail Blazers,Western Conference,POR,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
Sacramento Kings,Western Conference,SAC,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
San Antonio Spurs,Western Conference,SAS,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
Toronto Raptors,Eastern Conference,TOR,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
Utah Jazz,Western Conference,UTA,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
Washington Wizards,Eastern Conference,WAS,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
